Id,Manufacturer,Model,Prod. year,Color,Engine volume,Mileage,Price
0,LEXUS,RX 450,2010,Silver,3.5,186005.0,13328
2,HONDA,FIT,2006,Black,1.3,200000.0,8467
3,FORD,Escape,2011,White,2.5,168966.0,3607
4,HONDA,FIT,2014,Silver,1.3,91901.0,11726
5,HYUNDAI,Santa FE,2016,White,2.0,160931.0,39493
6,TOYOTA,Prius,2010,White,1.8,258909.0,1803
7,HYUNDAI,Sonata,2013,Grey,2.4,216118.0,549
8,TOYOTA,Camry,2014,Black,2.5,398069.0,1098
10,MERCEDES-BENZ,E 350,2014,White,3.5,184467.0,941
11,FORD,Transit,1999,Blue,4.0,0.0,8781
13,LEXUS,RX 450,2013,White,3.5,138038.0,1019
14,HYUNDAI,Santa FE,2016,White,2.0,76000.0,59464
16,HYUNDAI,Elantra,2016,Blue,1.8,121840.0,7683
17,HYUNDAI,Elantra,2016,White,1.8,54317.0,28382
18,HYUNDAI,Sonata,2006,Blue,3.3,295059.0,549
20,HYUNDAI,Elantra,2012,Silver,1.6,112645.0,18826
21,TOYOTA,Prius,2012,White,1.8,187000.0,20698
22,TOYOTA,Camry,2017,Black,2.5,39709.0,17562
23,FORD,Transit,2001,White,2.0,230000.0,7840
26,LEXUS,GX 470,2008,White,4.7,0.0,549
27,TOYOTA,Prius,2008,White,1.5,169000.0,30
28,HYUNDAI,Elantra,2011,Silver,1.6,158787.0,14454
29,TOYOTA,Highlander,2009,Blue,3.3,420550.0,12074
32,BMW,X5,2000,Silver,4.4,200000.0,6899
33,TOYOTA,Highlander,2008,White,3.3,287274.0,125
35,HYUNDAI,Santa FE,2011,Grey,2.0,162000.0,23235
37,HONDA,FIT,2010,Black,1.3,158000.0,7527
38,HYUNDAI,Elantra,2012,Silver,1.6,103490.0,19121
39,LEXUS,RX 450,2010,Silver,3.5,382746.0,314
40,TOYOTA,Camry,2013,Blue,2.4,203200.0,24462
41,HYUNDAI,H1,2016,Black,2.5,61057.0,45734
42,VOLKSWAGEN,Jetta,2016,Black,1.4,11200.0,20165
43,HYUNDAI,Sonata,2014,White,2.4,141000.0,21326
46,TOYOTA,Prius C,2012,Sky blue,1.5,128000.0,15681
47,HYUNDAI,Santa FE,2017,Black,2.0,100734.0,55390
48,TOYOTA,Aqua,2012,Black,1.5,141500.0,12544
50,HONDA,Civic,2016,Blue,2.0,87768.0,34889
57,NISSAN,Juke,2015,Black,1.6,87112.0,1411
60,FORD,Fusion,2013,Silver,1.6,83000.0,16935
62,NISSAN,Juke,2013,Black,1.6,312118.0,7213
64,HYUNDAI,Tucson,2013,Grey,2.0,200279.0,20526
65,HYUNDAI,Sonata,2015,Orange,2.0,719847.0,9722
66,HYUNDAI,H1,2014,Silver,2.5,154672.0,34657
67,HYUNDAI,H1,2016,Black,2.5,110969.0,36564
68,TOYOTA,Camry,2013,White,2.5,225510.0,314
70,HYUNDAI,H1,2015,Silver,2.5,148105.0,30063
71,CHEVROLET,Captiva,2011,Silver,2.2,255456.0,15800
72,HYUNDAI,H1,2017,Grey,2.5,111643.0,43952
73,HYUNDAI,Santa FE,2016,Silver,2.0,84506.0,53154
74,TOYOTA,Prius,2011,White,1.8,288000.0,14740
76,MERCEDES-BENZ,ML 350,2014,White,3.5,94362.0,3763
77,TOYOTA,Prius,2012,Silver,1.8,175000.0,18189
78,LEXUS,GX 470,2008,White,4.7,263190.0,862
79,FORD,Escape,2009,White,2.5,193614.0,220
80,TOYOTA,Highlander,2010,White,3.3,264877.0,5645
82,HONDA,Civic,2014,White,1.4,16000.0,21953
84,TOYOTA,Camry,2012,Black,2.5,195053.0,21953
85,HYUNDAI,Elantra,2012,Black,1.6,121362.0,19121
86,HYUNDAI,Santa FE,2014,White,2.0,69191.0,36065
87,HONDA,FIT,2012,Green,1.3,83000.0,8781
88,CHEVROLET,Cruze,2010,Black,1.8,40772.0,6247
89,CHEVROLET,Orlando,2012,Grey,2.0,172000.0,16289
92,SUBARU,Forester,2012,Blue,2.5,148213.0,549
94,HYUNDAI,Elantra,2016,Black,2.0,105394.0,27284
97,HONDA,Civic,1997,Blue,1.4,0.0,4234
99,HYUNDAI,Genesis,2009,Black,2.0,123346.0,15458
100,CHEVROLET,Cruze,2014,Green,1.4,80827.0,2901
102,FORD,Fusion,2015,Black,2.0,91760.0,314
103,LEXUS,GX 460,2010,Silver,4.6,275240.0,15681
105,TOYOTA,Prius,2007,Silver,1.5,318400.0,10663
107,BMW,X5,2013,Black,3.0,137802.0,1019
112,HYUNDAI,H1,2016,Grey,2.5,86000.0,44752
113,HYUNDAI,Elantra,2010,White,1.6,122740.0,17158
117,HONDA,FIT,2003,Silver,1.5,178000.0,94
119,HYUNDAI,Santa FE,2010,White,2.0,58962.0,14897
120,TOYOTA,Camry,2013,White,2.5,90000.0,23521
123,TOYOTA,Highlander,2009,Black,3.3,318358.0,1019
124,FORD,Fusion,2015,Black,2.0,71454.0,16935
125,TOYOTA,Camry,2012,Black,2.5,0.0,19444
126,HYUNDAI,Sonata,2014,Silver,2.0,346470.0,11604
127,HYUNDAI,Santa FE,2016,Blue,2.0,59515.0,51965
128,TOYOTA,Camry,2014,Grey,2.5,115312.0,706
130,HYUNDAI,H1,2008,Yellow,2.5,74444.0,13328
133,TOYOTA,RAV 4,2008,Silver,2.4,135000.0,20071
134,HYUNDAI,H1,2011,Yellow,2.5,124444.0,22894
135,HONDA,Civic,2012,White,1.5,146403.0,2901
137,LEXUS,GX 460,2010,Black,4.6,155821.0,39829
138,LEXUS,GX 460,2015,Black,4.6,102907.0,706
139,HYUNDAI,Sonata,2013,Black,2.4,130000.0,18660
141,HYUNDAI,Sonata,2014,Silver,2.0,264872.0,11604
142,CHEVROLET,Volt,2014,Brown,1.4,131893.0,314
145,TOYOTA,Camry,2018,White,2.5,35058.0,18817
148,VOLKSWAGEN,Jetta,2014,Silver,2.0,82392.0,1568
151,HYUNDAI,Sonata,2016,Silver,2.0,279787.0,11290
153,TOYOTA,Camry,2014,White,2.5,130478.0,862
154,HYUNDAI,H1,2012,Silver,2.5,166144.0,21395
155,HYUNDAI,Sonata,2016,Silver,2.0,258706.0,15681
156,CHEVROLET,Volt,2012,Red,1.4,188419.0,627
157,TOYOTA,Aqua,2016,Black,1.5,25807.0,40070
160,SSANGYONG,REXTON,2013,Silver,2.0,137267.0,35927
161,TOYOTA,Prius,2014,White,1.8,160000.0,21012
164,HYUNDAI,Genesis,2011,Grey,2.0,107005.0,15624
167,HYUNDAI,Elantra,2012,White,1.6,104997.0,20005
168,VOLKSWAGEN,Passat,2017,Silver,1.8,27728.0,36110
172,HYUNDAI,Santa FE,2016,Silver,2.0,113700.0,43880
174,TOYOTA,Camry,2011,White,2.5,152000.0,17249
176,HYUNDAI,Santa FE,2016,Red,2.0,50255.0,44213
179,FORD,Transit,2011,White,2.4,125000.0,21950
181,CHEVROLET,Cruze,2014,Black,1.4,156992.0,3136
186,MERCEDES-BENZ,E 350,2014,Silver,3.5,149486.0,314
190,VOLKSWAGEN,Jetta,2014,Grey,2.0,113214.0,1490
192,MERCEDES-BENZ,E 350,2014,Silver,3.5,149486.0,314
196,HYUNDAI,Sonata,2013,Black,2.4,175827.0,706
197,MERCEDES-BENZ,E 350,2013,Grey,3.5,107800.0,5802
198,TOYOTA,Camry,2014,Silver,2.5,115200.0,25716
199,CHEVROLET,Orlando,2012,White,2.0,132036.0,14426
200,TOYOTA,RAV 4,2001,Silver,2.0,91000.0,10820
203,HYUNDAI,Santa FE,2015,Black,2.0,185811.0,41281
208,LEXUS,CT 200h,2011,Black,1.8,122302.0,6586
209,TOYOTA,Prius,2007,Beige,1.5,140000.0,12544
210,HYUNDAI,Tucson,2014,White,2.0,120000.0,30063
214,HONDA,FIT,2002,Silver,1.5,0.0,30
215,TOYOTA,Aqua,2014,Silver,1.5,66000.0,12231
217,TOYOTA,Prius,2009,Grey,1.8,230000.0,10663
218,HONDA,FIT,2013,White,1.3,110467.0,5620
220,HONDA,FIT,2012,Black,1.3,64000.0,9408
221,HYUNDAI,Elantra,2011,Grey,1.8,80000.0,3
222,VOLKSWAGEN,Passat,2013,White,2.0,179200.0,15367
224,HYUNDAI,H1,2014,Silver,2.5,179918.0,26594
229,LEXUS,GX 470,2010,Grey,4.6,357246.0,40142
230,HYUNDAI,Elantra,2013,Grey,1.8,50000.0,14000
231,CHEVROLET,Cruze,2014,White,1.4,127842.0,17923
232,HYUNDAI,Tucson,2017,Black,1.6,40193.0,54518
235,FORD,Escape,2008,Grey,0.4,220474.0,282
236,VOLKSWAGEN,Passat,2013,Grey,2.0,132310.0,7527
237,TOYOTA,Camry,2017,White,2.5,60762.0,3450
238,HYUNDAI,Tucson,2010,White,2.0,142264.0,22063
239,HONDA,Civic,2012,White,1.5,146403.0,2901
241,VOLKSWAGEN,Passat,2002,Grey,2.8,175000.0,5331
242,VOLKSWAGEN,Jetta,2012,Black,2.0,203440.0,941
243,HONDA,FIT,2013,Blue,1.5,70000.0,16900
247,TOYOTA,Prius,2012,Red,1.8,122324.0,15524
250,FORD,Fusion,2014,Black,2.0,186048.0,862
251,HYUNDAI,Elantra,2017,White,1.6,98000.0,28909
252,HYUNDAI,Sonata,2012,Black,2.0,573249.0,8467
253,TOYOTA,Aqua,2013,Sky blue,1.5,130000.0,50
254,HYUNDAI,Sonata,2014,White,2.0,169024.0,14426
256,MERCEDES-BENZ,E 350,2014,Black,3.5,200179.0,30734
257,TOYOTA,Camry,2013,Black,2.5,156666.0,22580
258,CHEVROLET,Volt,2014,Black,1.4,133195.0,862
259,HONDA,FIT,2014,Blue,1.3,114950.0,7464
260,FORD,Fusion,2016,Black,2.5,154850.0,1333
261,HYUNDAI,Tucson,2019,White,1.6,13000.0,59865
263,HYUNDAI,H1,2018,Yellow,2.5,27406.0,68223
266,FORD,Fusion,2013,Black,1.6,85500.0,22266
267,MERCEDES-BENZ,E 350,2008,Black,3.0,175614.0,2430
268,FORD,Fusion,2014,Silver,2.0,0.0,282
269,NISSAN,Juke,2015,Black,1.6,85944.0,392
271,SSANGYONG,Actyon,2017,White,1.6,73000.0,39161
272,FORD,Transit,2008,White,2.2,180000.0,16308
273,TOYOTA,Camry,2009,Sky blue,2.4,92000.0,17719
274,LEXUS,GX 460,2011,White,4.6,160138.0,43278
275,HYUNDAI,Santa FE,2012,Red,3.5,197923.0,470
276,CHEVROLET,Cruze,2017,Black,1.4,42000.0,20385
278,HYUNDAI,Tucson,2019,White,2.0,48000.0,49858
281,HYUNDAI,Sonata,2015,Orange,2.0,582376.0,9722
283,HYUNDAI,Tucson,2017,White,2.0,40800.0,51075
284,HYUNDAI,Genesis,2011,Grey,2.0,117492.0,15241
285,FORD,Fusion,2015,Black,2.0,88795.0,2587
286,HYUNDAI,H1,2008,Silver,2.5,56769.0,15524
288,TOYOTA,Camry,2013,Blue,2.5,136861.0,4861
290,HYUNDAI,Elantra,2012,Grey,1.6,95665.0,18208
291,HYUNDAI,Sonata,2017,Silver,2.0,107387.0,549
295,CHEVROLET,Captiva,2007,Silver,2.0,183923.0,4924
297,HYUNDAI,H1,2016,Silver,2.5,97129.0,43576
300,OPEL,Astra,1992,White,1.1,0.0,700
302,CHEVROLET,Cruze,2017,Grey,1.4,29094.0,18817
303,FORD,Fusion,2015,Red,2.0,148709.0,4861
304,LEXUS,RX 450,2010,Silver,3.5,186005.0,13172
306,FORD,Escape,2017,Blue,2.0,251430.0,706
307,TOYOTA,Camry,2015,Grey,2.5,35000.0,39201
308,HYUNDAI,Elantra,2018,White,1.6,35643.0,36426
309,HONDA,Civic,2006,Grey,1.8,250000.0,8467
312,SUBARU,Forester,2012,Blue,2.5,281659.0,8154
318,HYUNDAI,Elantra,2013,Beige,1.8,77000.0,12231
319,TOYOTA,Prius,2007,Green,1.5,140000.0,5802
320,HYUNDAI,Sonata,2018,White,2.4,45494.0,2901
321,TOYOTA,Prius,2017,White,1.8,47672.0,1882
323,HONDA,FIT,2013,Silver,1.3,145000.0,11290
325,TOYOTA,Camry,2006,Grey,2.4,188800.0,14426
328,SUBARU,Forester,2016,White,2.5,34000.0,21639
331,FORD,Escape,2008,Grey,0.4,220474.0,282
333,HYUNDAI,Tucson,2013,Silver,2.0,124000.0,24198
334,HONDA,FIT,2013,Grey,1.5,34682.0,25365
337,TOYOTA,Prius,2012,White,1.8,22400.0,17249
338,MERCEDES-BENZ,E 350,2010,Black,3.5,229904.0,470
339,HYUNDAI,Sonata,2014,White,2.0,62000.0,31361
340,HYUNDAI,Elantra,2007,Silver,1.6,54279.0,4704
341,CHEVROLET,Cruze,2011,Grey,1.8,135759.0,12720
342,HYUNDAI,Tucson,2013,Silver,2.0,120534.0,26372
343,BMW,X5,2003,Black,3.0,189000.0,13485
344,HYUNDAI,Elantra,2014,White,1.6,140000.0,25591
347,LEXUS,GX 460,2010,Black,4.6,155821.0,39829
348,MERCEDES-BENZ,E 350,2011,Black,5.5,325811.0,13172
351,BMW,X5,2012,Black,3.0,420794.0,12388
352,HYUNDAI,Sonata,2012,Silver,2.0,280480.0,18503
353,HONDA,Insight,2010,Black,1.3,150000.0,12231
354,HONDA,FIT,2002,Black,1.3,135000.0,40
355,HYUNDAI,H1,2011,Silver,2.5,237853.0,17054
357,HYUNDAI,Sonata,2015,Orange,2.0,42000.0,9565
359,TOYOTA,Camry,2009,Silver,2.4,230400.0,18817
361,HYUNDAI,Sonata,2016,Silver,2.4,77000.0,17249
362,HYUNDAI,Sonata,2016,Silver,2.0,280016.0,15530
363,HYUNDAI,Sonata,2016,Silver,2.0,270874.0,11290
364,TOYOTA,Prius,2013,Sky blue,1.8,118000.0,24148
365,HYUNDAI,Sonata,2014,Silver,2.0,362868.0,10036
366,HYUNDAI,Elantra,2015,Black,1.8,85000.0,18817
367,LEXUS,CT 200h,2014,Red,1.8,132563.0,10349
369,HYUNDAI,Sonata,2015,Orange,2.0,391625.0,9252
370,HYUNDAI,Tucson,2018,Black,1.7,38577.0,55823
371,TOYOTA,Camry,2013,Blue,2.5,132800.0,25089
372,HYUNDAI,H1,2011,Silver,2.5,52686.0,18669
373,LEXUS,RX 450,2012,Black,3.5,232357.0,941
374,FORD,Transit,2001,White,2.4,253206.0,15053
375,HONDA,FIT,2014,Blue,1.5,76525.0,10660
